name,first_impression,description,visited,x_coordinate,y_coordinate,solution_item,active,north_exit,east_exit,south_exit,west_exit
Greenhouse,"A sweet aromatic smell fills the room. Strange and exotic plants are dispersed around a large carnivorous plant specimen. As if sensing your presence, the monstrous carnivorous plant begins to snap large and menacing teeth in your direction. Under one of its leaves you can see the metal glint of a shovel. To the East is the path where you entered.","A sweet aromatic smell fills the room. As if sensing your return, the monstrous carnivorous plant resumes snapping its large and menacing teeth. The metal glint of the shovel comes from under the plants largest leaf. To the East is the path where you entered.",0,0,0,"pig's head",1,0,1,0,0
Greenhouse,"A sweet aromatic smell fills the room. Strange and exotic plants are dispersed around a monstrous carnivorous plant with large menacing teeth. The plant is slowly frothing caustic sap over the pig's head you gave it. To the East is the path where you entered.","A sweet aromatic smell fills the room. Strange and exotic plants are dispersed around a monstrous carnivorous plant with large menacing teeth. The plant is slowly frothing caustic sap over the pig's head you gave it. To the East is the path where you entered.",0,0,0,"pig's head",0,0,1,0,0
Yard,"You're standing on a once-manicured lawn, the dark mansion looming before you, an imposing structure against the night sky. A loud crash makes you turn and you see that the Southern gate has slammed shut behind you. You rattle the gate's bolt, but the dark steel refuses to budge. You will need to find another way off the premises. To the North is the mansion veranda. To the West lies a greenhouse and, in the distance, to the East you see a chapel just beyond a dog kennel. A guttural howling seems to be coming from somewhere nearby.","You're in an open yard and the dark mansion stands before you, imposing against the night sky. The immovable gate stands to your South. To the North is the mansion veranda. To the West lies a greenhouse and to the East just beyond a dog kennel, you see the windows of an old chapel. A guttural howling seems to be coming from somewhere nearby.",0,1,0,,1,1,1,0,1
Kennel,"You stumble across the kennel yard, surprising what was once a dog. A zombie beagle is running straight at you. A zombeagle! The creature cannot reach you due to a chain securing it to a kennel that has ""MacK"" written above its entrance. The zombeagle has the appearance of a leper, and is clearly no longer alive. It appears to be guarding the entrance to the graveyard to the North. To the West is the yard.","The zombeagle stares at you, unmoving. It is chained to a kennel with the name ""MacK"" written above its entrance. It has the appearance of a leper, it is clearly no longer alive. The zombeagle appears to be guarding the entrance to the graveyard to the North. To the West is the yard.",0,2,0,"Squeaky Toy",1,0,0,0,1
Kennel,"MacK, the zombeagle rushes back to its kennel, content with the return of its favorite toy. You hear muffled and excited yaps coming from the kennel. Fog rolls in from the graveyard to the North. To the West is the yard.","You can hear excited and adorable yaps punctuated by a faint squeaking coming from deep within the kennel. Fog rolls in from the graveyard to the North. To the West is the yard.",0,2,0,"Squeaky Toy",0,1,0,0,1,0
Chapel-south,"Moving forward, you pass four cultists, each dressed in ornamental robes that set them apart from the cultists standing in rows. The moment you step onto the altar, the chanting comes to an immediate stop. In the chilling silence, you peer at the form on the altar. In the flickering candlelight you can make out the nametag on the uniformed body: Tyler. The light from the candles reflects off of the singular key on his keyring.","The chanting has stopped and the figures stand perfectly still. To the North is the exit of the chapel.",0,3,0,,1,1,0,0,0
Security,"Inside the security office, you find a desk poorly lit by a flickering lamp that does not appear to be plugged into anything. Folders are strewn about the table and onto the floor. In the back of the room sits a gun rack with a smashed lock.","You see a desk poorly lit by a flickering lamp that does not appear to be plugged in. Folders are strewn about the table and onto the floor. In the back of the room sits a gun rack with a smashed lock.",0,0,1,,1,0,1,0,0
Veranda,"Stepping onto the mansion's enclosed veranda, an imposing door looms to the North of you. To the West you see an office with the words ""Security"" on a board above the door. You can see a large sturdy lock on the West door. To your South is a dark manicured yard.","You are standing on the veranda of the mansion. The door to the mansion interior is to the North, a locked door to the security office is to the West, and the yard lies to your South.",0,1,1,"key",1,1,0,1,0
Veranda,"The door to the mansion is to the North, security office now open to the West and the yard lies to your South.","You are standing on the veranda of the mansion. The door to the mansion interior is to the North. The security office, its door now wide open, stands to the West. The yard lies to your South.",0,1,1,"key",0,1,0,1,1
Graveyard,"A shallow fog blankets the ground, worn grave markers stand like stone islands in the fogbank. You trip over several broken markers as you move through the boneyard in the dark. One stone in particular, marked by an angel missing a wing, displays the name ""Lady Rebecca Beaumont"". You can hear a foreboding chant coming from the chapel to the East. To the South you can see the dog kennel.","A shallow fog blankets the ground, worn grave markers stand like stone islands in the fogbank. One grave in particular, marked by an angel missing a wing, displays the name ""Lady Rebecca Beaumont"". You can hear a foreboding chant coming from the chapel to the East. To the South you can see the dog kennel.",0,2,1,"shovel",1,0,1,1,0
